id,espeficifacion
1,LAN Chipset
2,Chipset de video integrado
3,Puertos frontales
4,Detalle del conector
5,DisplayPort (Puerto de visualización)
6,Tubo dim.
7,Especificaciones del cable
8,Tipo de memoria flash NAND
9,Fuego cruzado
10,Corriente máx. de +5 V
11,Fabricante de teléfono compatible
12,Ventiladores de 80 mm
13,Controlador
14,INCURSIÓN
15,+12V1 Corriente máx.
16,Capacidad de disco duro incluida
17,MTTF
18,USB trasero
19,"Bahías de unidad internas de 2,5"""
20,+12V4 Máx. Corriente
21,Otros conectores
22,Material del marco
23,Puerto RJ-45
24,Memoria máxima admitida
25,Protocolo
26,Procesadores de flujo
27,Nivel sonoro
28,Ranuras PCI
29,Conector de alimentación SATA
30,Resolución máxima
31,Procesador
32,Altura
33,4 KB de lectura aleatoria
34,Audio Chipset
35,Conector de alimentación
36,Tiempo de acceso al CD-ROM
38,Fabricante de chipsets
39,-12 V máx. de corriente
40,Humedad de funcionamiento
41,Listo para la realidad virtual
42,PCI Express x1
43,Color de la montura
44,Tecnologías Avanzadas
45,Potencia recomendada de la fuente de alimentación
46,Reloj de sombreado
47,Capacidad máxima de memoria
48,Pcie
49,Adaptador de CA
50,Corriente de entrada
51,Ventiladores de 120 mm
52,"Bahías de unidades externas de 3,5"""
53,Kit multicanal
54,Conectores USB
55,SATA RAID
56,OpenGL
57,Consumo de energía (activo)
58,Compatibilidad de bloques - Intel
59,"Bahías de unidad internas de 3.5"""
60,Con fuente de alimentación
61,Uso
62,Escritura aleatoria de 4 KB
63,Windows Vista
64,Tipo de CPU
65,Número de conector
66,Compatible con ECC
67,Caché L3
68,Poder
69,Frecuencia turbo máxima
70,Material del disipador de calor
71,Compatibilidad de bloques
72,# de núcleos
73,Estilo
74,VGA
75,Filtros de polvo
76,Canales de audio
77,Tiempo de acceso al DVD-ROM
78,Enfriador
79,Encriptación
80,Terabytes escritos (TBW)
81,SLI
82,Ancho
83,Conéctate a
84,Lectura secuencial máxima
85,Conector de alimentación de 12 V
86,"Bahías de unidades externas de 5,25"""
87,Especificaciones de puertos
88,Se utiliza para
89,Cantidad total de ventiladores
90,Serie de GPU
