idspec,idproducto,valor
98,d9c5644d-74af-477e-a08c-e6e5466596c8,990 PRO
270,d9c5644d-74af-477e-a08c-e6e5466596c8,MZ-V9P2T0B/AM
356,d9c5644d-74af-477e-a08c-e6e5466596c8,Unidad interna de estado sólido (SSD)
88,d9c5644d-74af-477e-a08c-e6e5466596c8,Consumidor
138,d9c5644d-74af-477e-a08c-e6e5466596c8,M.2 2280
190,d9c5644d-74af-477e-a08c-e6e5466596c8,2 TB
384,d9c5644d-74af-477e-a08c-e6e5466596c8,V7 V-NAND MLC de 3 bits
168,d9c5644d-74af-477e-a08c-e6e5466596c8,"PCI-Express Gen 4.0 x4, NVMe 2.0"
25,d9c5644d-74af-477e-a08c-e6e5466596c8,NVMe 2.0
13,d9c5644d-74af-477e-a08c-e6e5466596c8,Samsung
79,d9c5644d-74af-477e-a08c-e6e5466596c8,Cifrado AES de 256 bits (Clase 0)TCG/Opal IEEE1667 (unidad cifrada)
84,d9c5644d-74af-477e-a08c-e6e5466596c8,Hasta 7450 MBps
260,d9c5644d-74af-477e-a08c-e6e5466596c8,Hasta 6900 MBps
291,d9c5644d-74af-477e-a08c-e6e5466596c8,03 de octubre de 2022
231,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Escritorio
98,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Serie Ryzen 7 7000
126,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Ryzen 7 7800X3D
270,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,100-100000910WOF
261,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Zócalo AM5
72,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,8 núcleos
300,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,16 hilos
226,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,"4,2 GHz"
69,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,"Hasta 5,0 GHz"
322,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,512KB
122,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,8 MB
67,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,96 MB
348,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Zen 4 - TSMC FinFET de 5 nm
323,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Sí
302,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,DDR5 5200
242,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Dos
134,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Soportado
93,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Tarjeta gráfica AMD Radeon
166,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,400 MHz
132,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,2200 MHz
144,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,5.0 / 4.0 / 3.0
94,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,120 W
296,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Dispositivo de enfriamiento no incluido - Solo procesador
223,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,Windows 11
291,fc96f5c7-994c-46bc-adf5-a3c3df5c6f4d,07 de abril de 2023
270,f51f8b9f-cb89-4c1a-9eb0-2a212c7c3e9c,B650 GAMING PLUS WIFI
