id,marca
1,Silicon Power
2,KingSpec
3,Fractal Design
4,MAIWO
5,Anker
6,Team
7,Seagate
8,G.SKILL
9,SAMA
10,Jonsbo
11,Nextorage
12,MSI
13,Lian li
14,be quiet
15,GELID Solutions
16,MLLSE
17,HGST
18,HYTE
19,AUKEY
20,EVGA
21,Team Group
22,NZXT
23,Synology
24,Noctua
25,ARCTIC COOLING
26,ADATA
27,Phanteks
28,COOLER MASTER
29,ZALMAN
30,Corsair
31,PNY
32,Thermal Grizzly
33,Wavlink
34,Arctic
35,PANO-MOUNTS
36,LIAN LI
37,Super
38,LG
39,ORICO
40,Omni Gear
41,ZOTAC
42,LIAN
43,Aukey
44,Cooler Master
45,Antec
46,Rosewill
47,AMD
48,be quiet!
49,JONSPLUS
50,Kingston
51,MagniumGear
52,XFX
53,AUBEAMTO
54,WD
55,GAMEMAX
56,SAPPHIRE
57,ALAMENGDA
58,ASUS
59,Crucial
60,Montech
61,ARCTIC
62,ASRock
63,Intel
64,IXEVER
65,CORSAIR
66,SeaSonic
67,JONSBO
68,Thermalright
69,Arctic Silver
70,Western Digital
71,Patriot
72,PowerColor
73,Gunnar
74,Terra Master
75,GIGABYTE
76,Thermaltake
77,SanDisk
78,DIYPC
79,SAMSUNG
80,SK hynix
